,title,price,rating,post_url,img_url,seller_reputation
0,Cpu Computador Intel Core I5 7ma 8gb Ram 500gb Hdd ,172.42,4.7,https://articulo.mercadolibre.com.ve/MLV-719902742-cpu-computador-intel-core-i5-7ma-8gb-ram-500gb-hdd-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_903719-MLV54242285827_032023-E.webp,5
1,Hp Proliant Dl380 Gen9 24 Core 128gb 2.4tb Servidor G9 Intel,1.700.00,5.0,https://articulo.mercadolibre.com.ve/MLV-749539931-hp-proliant-dl380-gen9-24-core-128gb-24tb-servidor-g9-intel-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_670183-MLV76429321734_052024-E.webp,5
2,Computador Pc Completa Core I5 7ma Gen Ssd 256gb 8gb Ram,277.20,5.0,https://articulo.mercadolibre.com.ve/MLV-751710400-computador-pc-completa-core-i5-7ma-gen-ssd-256gb-8gb-ram-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_779821-MLV79023651428_092024-E.webp,5
3,Cpu Dell Intel I5 3era Gen Ram 8gb 500gb Hdd Optiplex Tienda,189.00,4.8,https://articulo.mercadolibre.com.ve/MLV-565637061-cpu-dell-intel-i5-3era-gen-ram-8gb-500gb-hdd-optiplex-tienda-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_731477-MLV79883739343_102024-E.webp,5
4,Computadora Dell Cpu Intel I5 8gb 500gb Optiplex Tienda ,188.99,4.8,https://articulo.mercadolibre.com.ve/MLV-561942865-computadora-dell-cpu-intel-i5-8gb-500gb-optiplex-tienda-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_822092-MLV79634687394_102024-E.webp,5
5,Cpu Computador Dell Intel Core I7 8gb Ram 500gb Hdd Renovado,236.78,4.5,https://articulo.mercadolibre.com.ve/MLV-708039364-cpu-computador-dell-intel-core-i7-8gb-ram-500gb-hdd-renovado-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_950056-MLV71061421064_082023-E.webp,5
6,Pc Gamer Ryzen 5 5600g 16gb Ram 256gb Ssd M.2 ,396.00,5.0,https://articulo.mercadolibre.com.ve/MLV-789030266-pc-gamer-ryzen-5-5600g-16gb-ram-256gb-ssd-m2-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_797944-MLV79456136135_092024-E.webp,5
7,Hp Proliant Ml310e Gen8 32gb 2x1tb Ssd Servidor Xeon Quad G8,860.00,none,https://articulo.mercadolibre.com.ve/MLV-733526569-hp-proliant-ml310e-gen8-32gb-2x1tb-ssd-servidor-xeon-quad-g8-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_681732-MLV80005769380_102024-E.webp,5
8,Combo Computadora Cpu Intel I3 8gb Ram 500gb Hdd Monitor 19´,223.00,4.8,https://articulo.mercadolibre.com.ve/MLV-707296347-combo-computadora-cpu-intel-i3-8gb-ram-500gb-hdd-monitor-19-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_770564-MLV53803256929_022023-E.webp,5
9,Cpu Dell Intel Core I5 6ta Gen 8gb Ram 500gb Hdd Mt Renew,155.91,4.8,https://articulo.mercadolibre.com.ve/MLV-581966964-cpu-dell-intel-core-i5-6ta-gen-8gb-ram-500gb-hdd-mt-renew-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_665291-MLV72062111421_102023-E.webp,5
